รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
00470001,สพม.สกลนคร,47012014,คำเพิ่มพิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,39,81,3,41,50,91,3,61,68,129,4,144,157,301,10,33,58,91,3,42,42,84,3,38,51,89,3,0,0,0,0,0,0,0,0,0,0,0,0,113,151,264,9,257,308,565,19
00470001,สพม.สกลนคร,47012015,ท่านผู้หญิงจันทิมาพึ่งบารมี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,118,3,65,61,126,4,44,52,96,3,168,172,340,10,61,64,125,3,35,52,87,3,30,42,72,3,0,0,0,0,0,0,0,0,0,0,0,0,126,158,284,9,294,330,624,19
00470001,สพม.สกลนคร,47022001,พังโคนวิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,174,342,10,182,189,371,10,178,195,373,10,528,558,1086,30,109,162,271,8,94,159,253,7,122,157,279,8,0,0,0,0,0,0,0,0,0,0,0,0,325,478,803,23,853,1036,1889,53
00470001,สพม.สกลนคร,47022002,กุดบากพัฒนาศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,98,192,7,115,134,249,7,101,123,224,6,310,355,665,20,117,147,264,7,101,131,232,7,95,144,239,7,0,0,0,0,0,0,0,0,0,0,0,0,313,422,735,21,623,777,1400,41
00470001,สพม.สกลนคร,47022003,พรรณาวุฒาจารย์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,108,233,7,131,128,259,8,157,132,289,8,413,368,781,23,92,103,195,6,93,93,186,5,81,115,196,5,0,0,0,0,0,0,0,0,0,0,0,0,266,311,577,16,679,679,1358,39
00470001,สพม.สกลนคร,47022004,บ้านบัวราษฎร์บำรุง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,54,2,45,45,90,3,43,37,80,2,116,108,224,7,10,13,23,1,19,13,32,1,6,14,20,1,0,0,0,0,0,0,0,0,0,0,0,0,35,40,75,3,151,148,299,10
00470001,สพม.สกลนคร,47022005,ลำปลาหางวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17,1,15,9,24,1,10,12,22,1,36,27,63,3,11,4,15,1,9,9,18,1,12,12,24,1,0,0,0,0,0,0,0,0,0,0,0,0,32,25,57,3,68,52,120,6
00470001,สพม.สกลนคร,47022007,เทพสวัสดิ์วิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,1,13,8,21,1,10,8,18,1,27,23,50,3,3,5,8,1,14,13,27,1,7,9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,24,27,51,3,51,50,101,6
00470001,สพม.สกลนคร,47022008,ภูริทัตต์วิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,39,1,19,13,32,1,20,16,36,1,58,49,107,3,26,11,37,1,17,16,33,1,7,19,26,1,0,0,0,0,0,0,0,0,0,0,0,0,50,46,96,3,108,95,203,6
00470001,สพม.สกลนคร,47022009,บะฮีวิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,20,53,2,24,31,55,2,39,34,73,2,96,85,181,6,13,16,29,1,13,18,31,1,8,9,17,1,0,0,0,0,0,0,0,0,0,0,0,0,34,43,77,3,130,128,258,9
